Base_Consolidation_Name,Associated_Company_Name,Linkage_Method,Linkage_Value,Company_Evidence_Weight,Company_Evidence_Count,Association_companies_Count,chatid
"Shanghai Hao Zhun Biological Technology Co., Ltd",Chemegen,Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Energy Chemical,Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Elsa Bio Technology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Mianyang Vandino Pharmaceutical Technology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Chaoyan Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shenzhen Xinbosheng Biological Technology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yaoyun Biological Technology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Morning Student Science And Technology (Guangzhou) Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Boao Pike,Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Hanxiang Chemical Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Kaiwodun Biochemical Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Career Henan Chemical Co,Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Yanxi Chemical Co., Ltd.",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Jieshikai Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Baoji Guokang Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Chemenu Inc.,Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Wei Shi Reagent Group Ltd., Company",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Guangzhou Dreampharm Biotechnology Co., Ltd",Phone,P/F: 8618818260767,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Chemegen,Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Yancheng Jinbiao Chemical Industry Co., Ltd",Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Yaoruiyicheng Biological Medicine Co., Ltd",Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Boer Chemical Reagent Co., Ltd",Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Https//Hanhongsci.Com/,Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yunao International Trade Co., Ltd",Phone,P/F: 8619102157732,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shenzhen Qingtian Biotechnology Co., Ltd",Email,1208480077@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Tianmen Hengchang Chemical Co., Ltd",Email,1208480077@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Kele Fine Chemical Co., Ltd",Email,1208480077@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Guanlang Biotechnology Co., Ltd.",Email,1248580099@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Yongkuo Technology Co., Ltd",Email,1248580099@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yifei Biotechnology Co., Ltd",Email,1248580099@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Jingzhou Yinjie Chemical Co., Ltd",Email,1248680011@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Xinkang Pharmaceutical Chemical Co., Ltd",Email,1248680011@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Xichuan Pharmaceutical Technology Co., Ltd",Email,13313090628@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Zhenjia New Material Co., Ltd",Email,13313090628@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Qingdao Fuo Chemical Technology Co., Ltd",Email,13313090628@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Long Kang Sheng Fine Chemical Co., Ltd",Email,13313090628@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Xiamen Wonderful Bio Technology Co., Ltd",Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Shanghai Chuanqian Chemcial Technique Centre,Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Hao Biological Technology Co., Ltd",Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Baiao Innovation Technology Co., Ltd",Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Hebei Weilang Import And Export Corporation,Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Career Henan Chemical Co,Email,1914109725@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Meryer (Shanghai) Chemical Technology Co., Ltd",Email,1984393783@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Jikang Chemical Industry Co., Ltd",Email,1984393783@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Zhonglong Kangsheng Fine Chemical Co., Ltd",Email,1984393783@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Xiyuan Biotechnology Co., Ltd",Email,2453006496@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Zhongda Biotechnology Co., Ltd",Email,2453006496@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Conier Chem & Pharma Limited,Email,2453006496@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Https//Hanhongsci.Com/,Email,2453006496@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Pushan Industry (Shaanxi) Co., Ltd",Email,2453006496@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Hanlun Science And Technology Development Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shandong Wanhe Chemical Technology Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Hezhong Biochemical Manufacturing Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Dongcao Chemical Technology Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Klamar Reagent Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Kadel Chemical Technology Co., Ltd",Email,2850202386@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Dato Chemicals Co., Limited",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Yantai Winning Fine Chemicals Co., Ltd",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hunan Waybel Advanced Materials Co., Ltd",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chengdu Bright Chemical Technology Co., Ltd",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Cuiyao Trading Co., Ltd",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Qiute Trade Co., Ltd",Email,2952775698@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Henan Xiangduo Industry Co., Ltd",Email,3629602341@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Jushun Chemical Co., Ltd",Email,3629602341@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Haite Lesk Technology Co., Ltd",Email,chemistryliu@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shaanxi Lihe Tongchuang Chemical Technology Co., Ltd",Email,chemistryliu@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Fubo Biotechnology Co., Ltd",Email,chenjw@absin.cn,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Acmec Biochemical Technology Co., Ltd",Email,chenjw@absin.cn,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yifei Biotechnology Co., Ltd",Email,chenjw@absin.cn,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Ziqi Biological Technology Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Career Henan Chemical Co,Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Dangtong Import And Export Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Yiao New Material Technology Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Dorne Chemical Technology Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Atk Chemical Company Ltd,Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Uchem Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Bojing Chemical Co., Ltd",Email,Ethan@dornechem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Oka Biological Technology Co., Ltd",Email,feiyubio2@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Nantong Feiyu Biological Technology Co., Ltd",Email,feiyubio2@163.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Qingfeng Chem,Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Shiteng Chemical Technology Co., Ltd",Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Gyz Chemical Co., Ltd",Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Zerui Biotechnology Co., Ltd",Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Henan Yingchuang,Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Chinese Simplification Co., Ltd",Email,info@gyzchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shenzhen Polymeri Biochemical Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Haoran Biotechnology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Zhongda Biotechnology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Xinsheng New Material Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Mokesi Technology Co., Ltd.(2016)",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chengdu Sinostandards Biotech Co.,Ltd.",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Hao Biological Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Ziqi Biological Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Hebei Weilang Import And Export Corporation,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Bolide Biotechnology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Hanxiang Chemical Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Guanlang Biotechnology Co., Ltd.",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Conier Chem & Pharma Limited,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhejiang Jiuzhou Pharmaceutical Co., Ltd. Is",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Leapchem Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Amadis Chemical Company Limited,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Ocean Chemical Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Changzhou Huayang Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Yiao New Material Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Wuhan Han Sheng New Material Technology Co. Ltd,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shandong Hanjiang Chemical Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Witop Biotech Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Atk Chemical Company Ltd,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Uchem Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Afine Chemicals Ltd,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Gihi Chemicals Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Endun Biological Technology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Chemenu Inc.,Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yifei Biotechnology Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Henan Aochuang Chemical Co., Ltd",Email,info@zzsrm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Daming Changda Co., Ltd",Email,joelee@changdapharm.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Jingbo New Material Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Guizheng Medical Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Tianjin Tj Wyeth Biological Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhenfei Industry Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Cyclic Chemical Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shenzhen Xinbosheng Biological Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",Henan Sunlake Enterprise Corporation,Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Laidiou Biological Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Capot Chemical Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Ahh Chemical Co,.Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Jinhua Huayi Chemical Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Boyuan Import & Export Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Wingroup Pharmaceutical Co.,Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shandong Hanjiang Chemical Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Endun Biological Technology Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Wuhan Quanjinci New Material Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shandong Huisheng Import & Export Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yingxin Laboratory Equipment Co., Ltd",Email,kathy@hbyinsheng.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Zhongda Biotechnology Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Changzhou Sunchem Pharmaceutical Chemical Material Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhengzhou Alfa Chemical Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Acmec Biochemical Technology Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Henan Alfa Chemical Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Leap Chem Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","All Right Chemical Co., Ltd",Email,market18@leapchem.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Taizhou Crene Chempharm Co., Ltd",Email,mary@zwytech.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Aomi Jiade Pharmaceutical Technology Co., Ltd",Email,omiget@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chongqing Chemdad Co., Ltd",Email,omiget@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Jiangsu Pules Biotech Co., Ltd",Email,omiget@qq.com,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Changzhou Sunchem Pharmaceutical Chemical Material Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Zhengzhou Alfa Chemical Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Zhongda Biotechnology Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Acmec Biochemical Technology Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Henan Alfa Chemical Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Leap Chem Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","All Right Chemical Co., Ltd",Phone,P/F: 85230606658,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shenzhen Polymeri Biochemical Technology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Haoran Biotechnology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hangzhou Share Chemical Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd",TBD,Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Dowphon Chemical & Technology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Jijin Chemical Technology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Yubo Biotechnology Co., Ltd",Phone,P/F: 8613028896684,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Xichuan Pharmaceutical Technology Co., Ltd",Phone,P/F: 8613315915972,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hebei Zhenjia New Material Co., Ltd",Phone,P/F: 8613315915972,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Qingdao Fuo Chemical Technology Co., Ltd",Phone,P/F: 8613315915972,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Hubei Long Kang Sheng Fine Chemical Co., Ltd",Phone,P/F: 8613315915972,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Beijing Aomi Jiade Pharmaceutical Technology Co., Ltd",Phone,P/F: 8613522808617,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Chongqing Chemdad Co., Ltd",Phone,P/F: 8613522808617,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Jiangsu Pules Biotech Co., Ltd",Phone,P/F: 8613522808617,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Shanghai Xiyuan Biotechnology Co., Ltd",Phone,P/F: 8613681619662,2663,74,505,
"Shanghai Hao Zhun Biological Technology Co., Ltd","Anhui Zhongda Biotechnology Co., Ltd",Phone,P/F: 8613681619662,2663,74,505,
