Base Consolidation Name,Associated Name,Linkage Value,Linkage Method,Evidence Weightage,Association Count
"Anhui Zhongda Biotechnology Co., Ltd",Career Henan Chemical Co,laboratory@coreychem.com,,222,278
"Anhui Zhongda Biotechnology Co., Ltd",Afine Chemicals Ltd,laboratory@coreychem.com,,336,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Taijilin Industrial Co., Ltd",linda@zhongda-biotech.com,,116,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Luspharm Trading Co., Ltd.(2015)",linda@zhongda-biotech.com,,54,278
"Anhui Zhongda Biotechnology Co., Ltd","Laidiou Biological Technology Co., Ltd",linda@zhongda-biotech.com,,1036,278
"Anhui Zhongda Biotechnology Co., Ltd",Bide Pharmatech Ltd.,linda@zhongda-biotech.com,,248,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,linda@zhongda-biotech.com,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",linda@zhongda-biotech.com,,188,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhi Shang Chemical Co., Ltd",linda@zhongda-biotech.com,,294,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",mandy@sfinechem.com,,810,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Nuo Rui Hua New Material Technology Co., Ltd",mandy@sfinechem.com,,204,278
"Anhui Zhongda Biotechnology Co., Ltd","Cool Pharm, Ltd",mandy@sfinechem.com,,281,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Fandachem Co., Ltd",mandy@sfinechem.com,,44,278
"Anhui Zhongda Biotechnology Co., Ltd",Aecochem Corp,mandy@sfinechem.com,,117,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",market18@leapchem.com,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Changzhou Sunchem Pharmaceutical Chemical Material Co., Ltd",market18@leapchem.com,,50,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhengzhou Alfa Chemical Co., Ltd",market18@leapchem.com,,110,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",market18@leapchem.com,,2663,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Acmec Biochemical Technology Co., Ltd",market18@leapchem.com,,327,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Alfa Chemical Co., Ltd",market18@leapchem.com,,263,278
"Anhui Zhongda Biotechnology Co., Ltd","Leap Chem Co., Ltd",market18@leapchem.com,,421,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",market18@leapchem.com,,188,278
"Anhui Zhongda Biotechnology Co., Ltd","All Right Chemical Co., Ltd",market18@leapchem.com,,255,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",qinghongfu@foxmail.com,,810,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,qinghongfu@foxmail.com,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Qinghongfu Technology Co., Ltd",qinghongfu@foxmail.com,,190,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhengzhou Lingzhiyue Technology Co., Ltd",sales@capotchem.com,,123,278
"Anhui Zhongda Biotechnology Co., Ltd","Capot Chemical Co., Ltd",sales@capotchem.com,,335,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Sunlake Enterprise Corporation,sales@capotchem.com,,426,278
"Anhui Zhongda Biotechnology Co., Ltd","Capot Chemical Co., Ltd",sales@capotchem.com,,196,278
"Anhui Zhongda Biotechnology Co., Ltd",Dideu Industries Group Limited,sales@capotchem.com,,53,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Lingding Biotechnology Co., Ltd",sales@capotchem.com,,60,278
"Anhui Zhongda Biotechnology Co., Ltd","Baoji Guokang Biotechnology Co., Ltd",sales@capotchem.com,,288,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,sales@capotchem.com,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Fortuna Chemical Co., Ltd",sales@capotchem.com,,18,278
"Anhui Zhongda Biotechnology Co., Ltd",Donboo Amino Acid Company,sales@capotchem.com,,183,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",sales@sarms4muscle.com,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Firsky International Trade (Wuhan) Co., Ltd",sales@sarms4muscle.com,,285,278
"Anhui Zhongda Biotechnology Co., Ltd","Tianjin Tj Wyeth Biological Technology Co., Ltd",sales@sarms4muscle.com,,118,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Mojin Biological Technology Co., Ltd",sales@sarms4muscle.com,,484,278
"Anhui Zhongda Biotechnology Co., Ltd","Chongqing Chemdad Co., Ltd",sales@sarms4muscle.com,,819,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Allgreen Chemical Co., Ltd",sales@sarms4muscle.com,,569,278
"Anhui Zhongda Biotechnology Co., Ltd","Laidiou Biological Technology Co., Ltd",sales@sarms4muscle.com,,1036,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Maclean Biochemical Technology Co., Ltd",sales@sarms4muscle.com,,224,278
"Anhui Zhongda Biotechnology Co., Ltd","Pushan Industry (Shaanxi) Co., Ltd",sales@sarms4muscle.com,,459,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Uchem Co., Ltd",sales@sarms4muscle.com,,311,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",sales@sarms4muscle.com,,1844,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Quanjinci New Material Co., Ltd",sales@sarms4muscle.com,,1011,278
"Anhui Zhongda Biotechnology Co., Ltd","Neostar United Industrial Co., Ltd",sales@sarms4muscle.com,,297,278
"Anhui Zhongda Biotechnology Co., Ltd","Zouping Mingyuan Import & Export Trading Co., Ltd",sales@sarms4muscle.com,,28,278
"Anhui Zhongda Biotechnology Co., Ltd","Guangzhou Dreampharm Biotechnology Co., Ltd",sales@sarms4muscle.com,,467,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hengmao New Materials Technology Co., Ltd",sales@sarms4muscle.com,,694,278
"Anhui Zhongda Biotechnology Co., Ltd",Dc Chemicals,sales@sarms4muscle.com,,661,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Look Chemical Co., Ltd",sales01@sdlookchemical.com,,100,278
"Anhui Zhongda Biotechnology Co., Ltd","Suzhou Senfeida Chemical Material Co., Ltd",sales01@sdlookchemical.com,,169,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Xinzhongke Chemical Technology Co., Ltd",sales01@sdlookchemical.com,,120,278
"Anhui Zhongda Biotechnology Co., Ltd",Donboo Amino Acid Company,sales01@sdlookchemical.com,,183,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Xinhao Biotechnology Co., Ltd",xinhao-6@xinhaoshengwu.com,,10,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Xinhao Biotechnology Co., Ltd",P/F: 8618120578002,,10,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Lanabai Pharmaceutical Chemical Co., Ltd",P/F: 8613373049370,,316,278
"Anhui Zhongda Biotechnology Co., Ltd","Jiangsu Pules Biotech Co., Ltd",P/F: 8613373049370,,148,278
"Anhui Zhongda Biotechnology Co., Ltd","Jiangsu Shring Biopharma Co., Ltd",P/F: 8613373049370,,292,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Fengqiang Trading Co., Ltd",P/F: 8613373049370,,168,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",P/F: 8613545065237,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Ruichi Technology Co., Ltd",P/F: 8613545065237,,486,278
"Anhui Zhongda Biotechnology Co., Ltd",Career Henan Chemical Co,P/F: 8613545065237,,974,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Longyu Biotechnology Co., Ltd",P/F: 8613545065237,,498,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,P/F: 8613545065237,,758,278
"Anhui Zhongda Biotechnology Co., Ltd","Hong Kong Excellence Biotechnology Co., Ltd",P/F: 8613545065237,,803,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Taijilin Industrial Co., Ltd",P/F: 8615689548120,,116,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Luspharm Trading Co., Ltd.(2015)",P/F: 8615689548120,,54,278
"Anhui Zhongda Biotechnology Co., Ltd","Laidiou Biological Technology Co., Ltd",P/F: 8615689548120,,1036,278
"Anhui Zhongda Biotechnology Co., Ltd",Bide Pharmatech Ltd.,P/F: 8615689548120,,248,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,P/F: 8615689548120,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",P/F: 8615689548120,,188,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhi Shang Chemical Co., Ltd",P/F: 8615689548120,,294,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Look Chemical Co., Ltd",P/F: 8617653113219,,100,278
"Anhui Zhongda Biotechnology Co., Ltd","Suzhou Senfeida Chemical Material Co., Ltd",P/F: 8617653113219,,169,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Xinzhongke Chemical Technology Co., Ltd",P/F: 8617653113219,,120,278
"Anhui Zhongda Biotechnology Co., Ltd",Donboo Amino Acid Company,P/F: 8617653113219,,183,278
"Anhui Zhongda Biotechnology Co., Ltd",Shanghai Nuoruihua New Material,P/F: 8618627979853,,435,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",P/F: 8618627979853,,810,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Nuo Rui Hua New Material Technology Co., Ltd",P/F: 8618627979853,,204,278
"Anhui Zhongda Biotechnology Co., Ltd","Cool Pharm, Ltd",P/F: 8618627979853,,281,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Fandachem Co., Ltd",P/F: 8618627979853,,44,278
"Anhui Zhongda Biotechnology Co., Ltd",Aecochem Corp,P/F: 8618627979853,,117,278
"Anhui Zhongda Biotechnology Co., Ltd",Pt Chem Group Ltd,P/F: 8619956560829,,501,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Fengda Chemical Co., Ltd",P/F: 8619956560829,,848,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhishang New Material Co., Ltd",P/F: 8619956560829,,125,278
"Anhui Zhongda Biotechnology Co., Ltd","Siyang Liaoning Biochemical Products Co., Ltd",P/F: 8619956560829,,318,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,P/F: 8619956560829,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Shandong Zhi Shang Chemical Co., Ltd",P/F: 8619956560829,,294,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",P/F: 12135480471,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Firsky International Trade (Wuhan) Co., Ltd",P/F: 12135480471,,285,278
"Anhui Zhongda Biotechnology Co., Ltd","Tianjin Tj Wyeth Biological Technology Co., Ltd",P/F: 12135480471,,118,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Mojin Biological Technology Co., Ltd",P/F: 12135480471,,484,278
"Anhui Zhongda Biotechnology Co., Ltd","Chongqing Chemdad Co., Ltd",P/F: 12135480471,,819,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Allgreen Chemical Co., Ltd",P/F: 12135480471,,569,278
"Anhui Zhongda Biotechnology Co., Ltd","Laidiou Biological Technology Co., Ltd",P/F: 12135480471,,1036,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Maclean Biochemical Technology Co., Ltd",P/F: 12135480471,,224,278
"Anhui Zhongda Biotechnology Co., Ltd","Pushan Industry (Shaanxi) Co., Ltd",P/F: 12135480471,,459,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Uchem Co., Ltd",P/F: 12135480471,,311,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",P/F: 12135480471,,1844,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Quanjinci New Material Co., Ltd",P/F: 12135480471,,1011,278
"Anhui Zhongda Biotechnology Co., Ltd","Neostar United Industrial Co., Ltd",P/F: 12135480471,,297,278
"Anhui Zhongda Biotechnology Co., Ltd","Zouping Mingyuan Import & Export Trading Co., Ltd",P/F: 12135480471,,28,278
"Anhui Zhongda Biotechnology Co., Ltd","Guangzhou Dreampharm Biotechnology Co., Ltd",P/F: 12135480471,,467,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hengmao New Materials Technology Co., Ltd",P/F: 12135480471,,694,278
"Anhui Zhongda Biotechnology Co., Ltd",Dc Chemicals,P/F: 12135480471,,661,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",P/F: 85230606658,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Changzhou Sunchem Pharmaceutical Chemical Material Co., Ltd",P/F: 85230606658,,50,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhengzhou Alfa Chemical Co., Ltd",P/F: 85230606658,,110,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",P/F: 85230606658,,2663,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Acmec Biochemical Technology Co., Ltd",P/F: 85230606658,,327,278
"Anhui Zhongda Biotechnology Co., Ltd","Henan Alfa Chemical Co., Ltd",P/F: 85230606658,,263,278
"Anhui Zhongda Biotechnology Co., Ltd","Leap Chem Co., Ltd",P/F: 85230606658,,421,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Neway Chemicals Co., Ltd",P/F: 85230606658,,188,278
"Anhui Zhongda Biotechnology Co., Ltd","All Right Chemical Co., Ltd",P/F: 85230606658,,255,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",P/F: 861058443812,,810,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,P/F: 861058443812,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Qinghongfu Technology Co., Ltd",P/F: 861058443812,,190,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",P/F: 861059421785,,810,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,P/F: 861059421785,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Qinghongfu Technology Co., Ltd",P/F: 861059421785,,190,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhengzhou Lingzhiyue Technology Co., Ltd",P/F: 8613336195806,,123,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Sunlake Enterprise Corporation,P/F: 8613336195806,,426,278
"Anhui Zhongda Biotechnology Co., Ltd","Capot Chemical Co., Ltd",P/F: 8613336195806,,196,278
"Anhui Zhongda Biotechnology Co., Ltd",Dideu Industries Group Limited,P/F: 8613336195806,,53,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Lingding Biotechnology Co., Ltd",P/F: 8613336195806,,60,278
"Anhui Zhongda Biotechnology Co., Ltd","Baoji Guokang Biotechnology Co., Ltd",P/F: 8613336195806,,288,278
"Anhui Zhongda Biotechnology Co., Ltd",Henan Bao Enluo International Trade Co. Ltd,P/F: 8613336195806,,1225,278
"Anhui Zhongda Biotechnology Co., Ltd","Wuhan Fortuna Chemical Co., Ltd",P/F: 8613336195806,,18,278
"Anhui Zhongda Biotechnology Co., Ltd",Donboo Amino Acid Company,P/F: 8613336195806,,183,278
"Anhui Zhongda Biotechnology Co., Ltd","Hefei Tnj Chemical Industry Co., Ltd",P/F: 8613366919117,,810,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,P/F: 8613366919117,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Qinghongfu Technology Co., Ltd",P/F: 8613366919117,,190,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Xiyuan Biotechnology Co., Ltd",P/F: 8613681619662,,12,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",P/F: 8613681619662,,2663,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,P/F: 8613681619662,,758,278
"Anhui Zhongda Biotechnology Co., Ltd",Https//Hanhongsci.Com/,P/F: 8613681619662,,336,278
"Anhui Zhongda Biotechnology Co., Ltd","Pushan Industry (Shaanxi) Co., Ltd",P/F: 8613681619662,,459,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Lianmai Biological Engineering Co., Ltd",P/F: 8615093356674,,7,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Minmin Biotechnology Co., Ltd",P/F: 8615093356674,,290,278
"Anhui Zhongda Biotechnology Co., Ltd","Morning Student Science And Technology (Guangzhou) Co., Ltd",P/F: 8615093356674,,268,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhongweiye Biological Technology Co., Ltd. (2010)",P/F: 8615093356674,,8,278
"Anhui Zhongda Biotechnology Co., Ltd",Career Henan Chemical Co,P/F: 8615093356674,,974,278
"Anhui Zhongda Biotechnology Co., Ltd","Mainchem Co., Ltd",P/F: 8615093356674,,252,278
"Anhui Zhongda Biotechnology Co., Ltd",Career Henan Chemical Co,P/F: 8615093356674,,222,278
"Anhui Zhongda Biotechnology Co., Ltd",Afine Chemicals Ltd,P/F: 8615093356674,,336,278
"Anhui Zhongda Biotechnology Co., Ltd","Leap Chem Co., Ltd",P/F: 8615093356674,,421,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Miaoyin Technology Co., Ltd",P/F: 8615093356674,,1844,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Endun Biological Technology Co., Ltd",P/F: 8615093356674,,1034,278
"Anhui Zhongda Biotechnology Co., Ltd","Shenzhen Polymeri Biochemical Technology Co., Ltd",P/F: 8615800340161,,1252,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Haoran Biotechnology Co., Ltd",P/F: 8615800340161,,138,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang J&C Biological Technology Co.,Limited",P/F: 8615800340161,,1778,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Xinsheng New Material Technology Co., Ltd",P/F: 8615800340161,,103,278
"Anhui Zhongda Biotechnology Co., Ltd","Chemegen(Shanghai) Biotechnology Co., Ltd",P/F: 8615800340161,,1477,278
"Anhui Zhongda Biotechnology Co., Ltd","Mokesi Technology Co., Ltd.(2016)",P/F: 8615800340161,,104,278
"Anhui Zhongda Biotechnology Co., Ltd","Chengdu Sinostandards Biotech Co.,Ltd.",P/F: 8615800340161,,110,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Biological Technology Co., Ltd",P/F: 8615800340161,,485,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Ziqi Biological Technology Co., Ltd",P/F: 8615800340161,,314,278
"Anhui Zhongda Biotechnology Co., Ltd",Hebei Weilang Import And Export Corporation,P/F: 8615800340161,,8,278
"Anhui Zhongda Biotechnology Co., Ltd","Beijing Bolide Biotechnology Co., Ltd",P/F: 8615800340161,,28,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hanxiang Chemical Co., Ltd",P/F: 8615800340161,,8,278
"Anhui Zhongda Biotechnology Co., Ltd","Hebei Guanlang Biotechnology Co., Ltd.",P/F: 8615800340161,,369,278
"Anhui Zhongda Biotechnology Co., Ltd","Shanghai Hao Zhun Biological Technology Co., Ltd",P/F: 8615800340161,,2663,278
"Anhui Zhongda Biotechnology Co., Ltd",Conier Chem & Pharma Limited,P/F: 8615800340161,,758,278
"Anhui Zhongda Biotechnology Co., Ltd","Zhejiang Jiuzhou Pharmaceutical Co., Ltd. Is",P/F: 8615800340161,,560,278
"Anhui Zhongda Biotechnology Co., Ltd","Leapchem Co., Ltd",P/F: 8615800340161,,160,278
"Anhui Zhongda Biotechnology Co., Ltd",Amadis Chemical Company Limited,P/F: 8615800340161,,739,278
"Anhui Zhongda Biotechnology Co., Ltd","Hangzhou Ocean Chemical Co., Ltd",P/F: 8615800340161,,153,278
